"age","avgweight_moisture","samplesize_moisture","avgweight_soildisturb","samplesize_soildisturb","avgweight_tempopt","inv_avgweight_tempopt","samplesize_tempopt","Ti_glacial_acticity","chelsa_maxtemp","chelsa_meantemp","chelsa_annualprecip","chelsa_maxprecip","chelsa_meanwarmest"
17,5.32451923076923,44,3.6050150829638,48,12.6766169154229,6.3233830845771,41,9924,13.2799998092651,1.58045836210251,723.58,90.02,10.7359998512268
105,5.47619047619048,47,3.55034722223333,53,13.049504950495,5.950495049505,45,11200.6363636364,12.4299998283386,0.686458271741867,700.85,94.8,10.009166431427
234,5.35405405405405,41,3.42626146790826,48,12.3379120879121,6.6620879120879,38,8425.5,12.1520002555847,0.639916633367538,686.48,92.36,9.88933343887329
365,5.24581005586592,36,3.51421534133005,42,12.6818181818182,6.3181818181818,35,9385.1,12.8699998855591,1.07479168474674,698.4,95.65,10.4424997329712
519,5.375,36,3.48957382040639,41,12.7233502538071,6.2766497461929,35,9920.63636363636,13.1830001544952,1.77475008487701,733.57,98.81,10.9255004119873
646,5.34771573604061,44,3.72414893619149,52,12.9175257731959,6.0824742268041,41,8526,13.5660001754761,0.817416657209396,730.48,98.92,10.611999912262
783,5.34466019417476,42,3.46340425533617,47,12.5862068965517,6.4137931034483,40,9169.36363636364,14.0970000648499,0.972833388447762,714.04,95.02,11.0586666870117
963,5.32335329341317,34,3.55148975792179,38,12.7269938650307,6.2730061349693,33,8140.94117647059,13.8610000705719,1.11624999284744,710.71,96.63,11.2235000514984
1200,5.23115577889447,36,3.53740399386636,42,13.0678391959799,5.9321608040201,36,7804.23529411765,14.6499996185303,1.20833325386047,715,95,11.6166658401489
1435,5.33561643835616,28,3.425729166675,31,12.7965517241379,6.2034482758621,27,7631,13.9550001144409,1.03750006556511,726.9,96.1,11.1008334636688
1600,5.39130434782609,35,3.64162895929864,41,12.3833333333333,6.6166666666667,34,7173.75,16.0499992370605,1.89583325386047,716,97,12.4833326339722
1823,5.40979381443299,37,3.36554834057576,42,12.4054054054054,6.5945945945946,35,7567.82352941177,14.9959997653961,1.63229165077209,717.08,95.62,12.1168335342407
2071,5.49230769230769,34,3.3287878788,39,12.2941176470588,6.7058823529412,33,7155.26315789474,13.862999753952,0.845124851465225,705.16,95.29,11.1195000553131
2337,5.52054794520548,30,3.55521472393865,34,12.8661971830986,6.1338028169014,29,8778,14.1389999294281,1.15658338725567,705.41,90,11.5044999694824
2585,5.26923076923077,33,3.56610305959903,37,12.6142857142857,6.3857142857143,31,8978.4,14.3800003528595,1.22895842790604,704.6,97.25,11.6716669082642
2818,5.39263803680982,32,3.43271604939683,39,12.6044303797468,6.3955696202532,31,10160.3529411765,15.5860001564026,1.64025002241135,728.6,99.1,12.3370000457764
3086,5.12707182320442,32,3.52668308704433,36,12.8457142857143,6.1542857142857,30,7940.25,16.0199999427795,1.84666670084,722.52,95.98,12.6136664199829
3338,5.47179487179487,42,3.42350628932547,45,12.3502673796791,6.6497326203209,41,9400.33333333333,15.6319994544983,1.56041662931442,716.26,97.1,12.3153327941895
3691,5.50909090909091,37,3.59003139719231,41,12.5375,6.4625,36,7446.5,15.6409996700287,1.69495839118958,726.09,101.46,12.428666973114
4230,5.50230414746544,44,3.53227513229365,50,12.5166666666667,6.4833333333333,43,5707.575,16.1,1.75458329916,717.4,100.5,12.7250001907349
4527,5.70625,31,3.32777777779781,34,12.3552631578947,6.6447368421053,30,4112.5,16.6470004844666,1.64437503457069,695.62,90.43,12.8503329086304
4869,5.50285714285714,37,3.39938271606349,39,12.5179640718563,6.4820359281437,35,4357.66666666667,16.4500007629395,1.48608336925507,708.17,97.38,12.6028333091736
5416,5.46195652173913,36,3.20326633167839,39,12.1704545454545,6.8295454545455,35,4500.88888888889,17.0819993591309,1.47883328437805,696.52,90.48,13.0493328857422
5991,5.51136363636364,32,3.34656862747059,37,12.1130952380952,6.8869047619048,31,4283.47058823529,19.0869997215271,2.47170835494995,710.73,94.36,14.047166557312
6453,5.71140939597315,29,3.16647173491813,33,11.7163120567376,7.2836879432624,28,4711,18.5029999542236,1.58520835399628,681.18,92.53,13.8198333930969
6943,5.62025316455696,29,3.21055555557222,32,11.9865771812081,7.0134228187919,27,4585.75757575758,18.6060002708435,1.29379170179367,683.14,94,13.7520002365112
7331,5.58333333333333,24,2.93344594595946,28,11.3467741935484,7.6532258064516,23,4522.68421052632,18.6119994735718,1.14662491559982,665.35,91.14,13.7366657829285
7738,5.75454545454546,25,3.05674931130578,27,11.421568627451,7.578431372549,24,4551.71428571429,20.1699992370605,1.58624999761581,664.46,94.1,14.7029999542236
8213,5.74803149606299,23,3.39081632655102,27,12.1260504201681,6.8739495798319,22,5422,17.5410006141663,-0.0244583814591169,630.6,84.26,13.0860005092621
8747,5.72426470588235,21,3.11224899598795,25,11.2375,7.7625,20,4646.39024390244,18.0260001564026,0.0882083836197853,647.1,88.94,13.6495001792908
9164,6.0379746835443,17,3.42051282052747,19,11.3943661971831,7.6056338028169,16,4723.30769230769,18.5019998931885,0.776833413243294,668.8,92.72,14.1679998397827
9368,6.1304347826087,13,3.16309523810714,15,10.4210526315789,8.5789473684211,12,4262.65,13.6860000610352,-0.357500005960464,651.72,92.64,11.3806666183472
9522,5.6530612244898,13,2.61274509803922,14,10.5853658536585,8.4146341463415,12,4244.78947368421,13.4479999160767,-0.505666608810425,642.66,89.32,11.2893338775635
9663,5.58,12,3.44491525423729,13,12,7,11,5030.94736842105,13.2679998588562,-0.713666712641716,641.85,89.59,11.3108331775665
9811,5.89473684210526,9,3.38636363636364,8,12.4342105263158,6.5657894736842,9,5441.78947368421,13.7400003814697,-0.447291623950005,650.1,88.11,11.53766705513
10078,5.7,10,3.55701754385965,11,11.76,7.24,10,8197.57142857143,12.86,-0.941916530132294,641.2,87,10.9536664199829
10203,6.91666666666667,4,4.21052631578947,4,14.4166666666667,4.5833333333333,4,7489.35714285714,13.175,-0.551583310961723,650.12,84,11.0756667900085
10453,5.36,7,4.76,7,13.2,5.8,7,10905.4193548387,10.75,-1.14487494587898,657.66,88.06,9.75883319854736
